,cyberbullying_type
16016,1
9083,1
33910,1
21813,1
9585,1
22704,1
46074,1
16896,1
45383,1
32298,1
11873,1
32170,1
44686,1
33829,1
46829,1
11761,1
26877,1
23953,1
14737,1
32908,1
21201,1
25924,1
23458,1
21150,1
12717,1
9476,1
38624,1
39361,1
31274,1
25001,1
19711,1
30463,1
40313,1
8218,1
12422,1
13502,1
29300,1
28526,1
12155,1
46838,1
42848,1
46497,1
29684,1
51082,1
15787,1
44457,1
20092,1
8243,1
24924,1
12246,1
14592,1
47134,1
14288,1
42664,1
39450,1
31328,1
44697,1
11190,1
28873,1
43051,1
29210,1
41415,1
20218,1
24005,1
45060,1
43146,1
41390,1
61905,1
33273,1
45036,1
17645,1
20205,1
30357,1
28696,1
18711,1
18443,1
40314,1
31076,1
14842,1
19657,1
18218,1
20040,1
38424,1
39587,1
27318,1
33983,1
11542,1
38139,1
46966,1
12467,1
20228,1
18788,1
44983,1
26402,1
16825,1
11234,1
20819,1
47194,1
16040,1
24637,1
21835,1
34478,1
9529,1
22606,1
12204,1
32224,1
37684,1
12267,1
15739,1
13691,1
17410,1
15656,1
21425,1
24737,1
22274,1
57884,1
29335,1
38972,1
45995,1
12915,1
12898,1
27626,1
25132,1
43471,1
31426,1
28170,1
38127,1
10769,1
45571,1
17119,1
31375,1
39381,1
45674,1
45242,1
46320,1
10989,1
9065,1
10665,1
35626,1
22321,1
36391,1
31653,1
43369,1
11709,1
53526,1
44789,1
22775,1
38600,1
21919,1
10614,1
43003,1
38488,1
23073,1
15910,1
24437,1
19057,1
26306,1
35536,1
8467,1
44663,1
44577,1
18249,1
14614,1
32424,1
38080,1
38823,1
39252,1
19045,1
26553,1
8885,1
32515,1
10314,1
10929,1
13018,1
27182,1
12321,1
9762,1
21927,1
23804,1
11537,1
9777,1
46032,1
50835,1
28219,1
26761,1
44330,1
24175,1
22083,1
13703,1
8207,1
35379,1
35038,1
37880,1
27647,1
12362,1
36751,1
9744,1
46985,1
12765,1
31270,1
9128,1
44102,1
14555,1
35581,1
37288,1
21885,1
8161,1
32045,1
17892,1
9789,1
41241,1
15081,1
14830,1
12148,1
46607,1
7857,1
31197,1
10833,1
43356,1
32674,1
19834,1
36898,1
18919,1
27585,1
43207,1
41720,1
30211,1
40898,1
14577,1
31065,1
12407,1
25137,1
22698,1
26474,1
45507,1
21660,1
17996,1
41411,1
15503,1
11765,1
8077,1
9011,1
18345,1
19873,1
43788,1
40101,1
33371,1
22728,1
9496,1
17205,1
12762,1
34764,1
29861,1
45297,1
41189,1
35747,1
44718,1
43763,1
28913,1
33571,1
44638,1
9878,1
13547,1
22251,1
36914,1
42812,1
21768,1
21463,1
16413,1
19342,1
45463,1
47190,1
22885,1
8977,1
8288,1
15108,1
9951,1
22731,1
13173,1
42260,1
15134,1
20054,1
20859,1
10995,1
53345,1
47215,1
39201,1
19251,1
34045,1
21028,1
16847,1
24544,1
22017,1
16163,1
11985,1
15800,1
23638,1
42366,1
17398,1
12624,1
33860,1
38161,1
27368,1
16078,1
15677,1
42348,1
18543,1
47502,1
18952,1
15710,1
35924,1
41554,1
22892,1
12304,1
17232,1
46245,1
12488,1
54241,1
44125,1
44916,1
34470,1
41330,1
43845,1
19541,1
17374,1
10906,1
17492,1
25740,1
30901,1
32106,1
40390,1
44793,1
12031,1
46226,1
20771,1
44378,1
45619,1
19986,1
32471,1
28971,1
24634,1
33212,1
45973,1
12353,1
20983,1
21527,1
46493,1
19983,1
33558,1
36435,1
45839,1
35537,1
30275,1
8003,1
60611,1
22555,1
46888,1
11713,1
46089,1
34490,1
30006,1
36123,1
22713,1
8807,1
54992,1
18899,1
22462,1
12681,1
38737,1
16981,1
39843,1
24359,1
52758,1
24518,1
47151,1
43150,1
44798,1
40843,1
34855,1
20790,1
38384,1
22253,1
16747,1
10136,1
8674,1
18404,1
31795,1
30514,1
42364,1
19138,1
24467,1
34780,1
35576,1
17576,1
25111,1
22538,1
45784,1
42022,1
46520,1
17487,1
35761,1
33662,1
12394,1
44458,1
25162,1
32772,1
13178,1
35818,1
39805,1
45196,1
25304,1
31592,1
19443,1
17253,1
44927,1
35951,1
36635,1
44571,1
28195,1
8664,1
39123,1
9287,1
23400,1
15307,1
41260,1
8586,1
45336,1
7928,1
18926,1
27832,1
33034,1
42476,1
15179,1
39709,1
11086,1
18224,1
62854,1
27759,1
18337,1
31018,1
25524,1
27121,1
47138,1
11395,1
13491,1
17591,1
12659,1
19153,1
33081,1
26307,1
33607,1
45293,1
38257,1
18848,1
14816,1
44253,1
28817,1
41556,1
31848,1
8194,1
43752,1
11779,1
32381,1
31626,1
46815,1
43454,1
35875,1
53243,1
13660,1
29413,1
34297,1
8188,1
26871,1
11940,1
38791,1
44606,1
33732,1
30234,1
43555,1
45762,1
44500,1
36031,1
20390,1
26234,1
33752,1
23245,1
41099,1
23033,1
46276,1
21686,1
20298,1
18034,1
28418,1
33011,1
9142,1
23065,1
24203,1
40166,1
14693,1
17032,1
31435,1
39477,1
41591,1
45188,1
14414,1
27065,1
31470,1
25603,1
14903,1
31705,1
14904,1
17915,1
43039,1
25905,1
12016,1
42919,1
24088,1
40145,1
33912,1
20278,1
10222,1
28785,1
32352,1
32196,1
31280,1
17860,1
12768,1
17274,1
62068,1
22076,1
36161,1
8212,1
31343,1
22378,1
22793,1
7890,1
25326,1
44618,1
28690,1
41479,1
9769,1
25156,1
10834,1
33041,1
59829,1
39136,1
33890,1
9820,1
37872,1
24187,1
23031,1
46027,1
43632,1
17092,1
52562,1
17558,1
34749,1
10377,1
30614,1
22771,1
8398,1
19151,1
34860,1
35680,1
44867,1
40386,1
24469,1
45068,1
43155,1
10340,1
33120,1
9978,1
27531,1
42661,1
34151,1
31983,1
25236,1
46113,1
31781,1
35144,1
17138,1
9622,1
19010,1
22842,1
29549,1
11674,1
26674,1
26663,1
32770,1
45701,1
33604,1
43090,1
34058,1
17561,1
17345,1
12850,1
15507,1
43914,1
32435,1
34046,1
15432,1
19174,1
31331,1
32413,1
44353,1
28591,1
12570,1
37145,1
17432,1
41952,1
28788,1
9417,1
13338,1
42827,1
9062,1
45851,1
39276,1
15673,1
12369,1
39057,1
28024,1
17482,1
23641,1
31675,1
38327,1
17524,1
8969,1
22499,1
17511,1
26045,1
43283,1
43924,1
32979,1
17421,1
16932,1
11118,1
35349,1
16166,1
15394,1
36340,1
32257,1
31427,1
35759,1
42200,1
10565,1
35209,1
7987,1
18560,1
37683,1
25031,1
38641,1
32449,1
46996,1
20816,1
37574,1
45582,1
15029,1
20483,1
37749,1
47014,1
19524,1
11409,1
60977,1
63904,1
40798,1
45551,1
45525,1
15413,1
44538,1
11027,1
