tweet_text,cyberbullying_type
Post-Cuomo push to toughen NY sexual harassment laws https://t.co/BgiuSqIbAe,0
"Push to toughen NY sexual harassment laws that Gov. Cuomo himself enacted – then violated, according to the AG's re… https://t.co/Jz4FNpE7m2",0
@GabbieHanna As if Trisha didn’t accuse him of sexual harassment and as if she hadn’t try to ruin his life @h3h3productions  bitch please,0
@fentsemadii True is that 🔥 thou I know nothing about the sexual harassment😩,0
Watch the recap video of the two-day hands-on Executive Workshop on Anti-Sexual Harassment Policies in Lebanese Wor… https://t.co/SvkN89kfXk,0
I think this is sexual harassment.  The duck is pushing her off with all his mite https://t.co/6VHKcI7MTi,0
"cases of sexual harassment and abuse can never be reduced to just ""tea"" and i think some of you still have to be re… https://t.co/IQB1ULferu",0
Sexual harassment policies don’t exist in most churches. You’ll be branded as a liar and a Jezebel who wants to bri… https://t.co/7tHtsf0MqU,0
@TheLeadCNN Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment sp… https://t.co/YFzyU4gqkS,0
"Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations
https://t.co/VnYJaaPZ7I",0
The New York state Assembly’s Judiciary Committee will still release its investigative report into Gov. Andrew Cuom… https://t.co/4CIvneWeTh,0
"@POTUS Sadly, your Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment spe… https://t.co/7hBAdYbwY9",0
The New York state Assembly’s Judiciary Committee will still release its investigative report into Gov. Andrew Cuom… https://t.co/sA5STyObnu,0
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/lViyyKB6Qy",0
@BillKristol Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment s… https://t.co/L8hsGPnPre,0
@seanhannity @LaraLeaTrump @laralogan Coming from a man who works for a company that’s been sued multiple times for… https://t.co/7qXMpTzUVn,0
Sexual Harassment: Lecturer Suspended For Three Months - https://t.co/rGb6jNBb9X,0
"tw // fetish , sexual harassment

wtf????? https://t.co/DvOi2hYD44",0
"@_ali__raza You’re a Muslim, right? Pakistan?? India?? Your name is a common in South Asia.
Don’t you have any sham… https://t.co/yVfHCSgfoz",0
". @Ubisoft reportedly investigated by @TAFEPSG for sexual harassment and #discrimination claims

#diversity #HR #PR… https://t.co/Bp5sBUkDJR",0
@davidaxelrod @POTUS Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual hara… https://t.co/EE91ZmqV2t,0
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion
https://t.co/bcFEyhBXN8",0
@amyklobuchar Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment… https://t.co/TAIYvNAF2z,0
"Addressing online abuse, harassment, and victim-blaming may feel like a dauntingly large task. But culture change b… https://t.co/hETm9MApC8",0
@cnnbrk Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment speech… https://t.co/j77PwjE3H2,0
@MSNBC Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment speech.… https://t.co/4Vll5eSt7w,0
McDonald’s can’t dodge responsibility for sexual #harassment at its restaurants. #MeToo [Good to see some focus on… https://t.co/vMXD7buLIa,0
It’s an honor to share a byline with ⁦@RepSpeier⁩ in ⁦@rollcall⁩ this morning — read our piece about why it’s time… https://t.co/WkjVmMF2xX,0
"Rivers lecturers suspended over alleged sexual harassment, corruption https://t.co/OqBe2nWCZy",0
#NewPost :  Chris Cuomo Breaks Silence About Andrew Cuomo's Resignation Amid Sexual Harassment Allegations… https://t.co/NnmoTfZYTz,0
It is likely that soon Mark Twain and Abraham Lincoln will be accused of sexual harassment.,0
@VP I agree but Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassmen… https://t.co/76iN0MnMO8,0
"#TDTY #17August #Year1990
Event of Interest:
Phyllis Polander sues Mike Tyson for sexual harassment",0
"@Kola_Omobusola @Anita_Izato You implied he was a predator in your previous response. 

Also, my 18 year-old daught… https://t.co/qoq6RpdIDV",0
@maggieNYT Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment spe… https://t.co/bvW95cB8kH,0
@wolfblitzer Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment s… https://t.co/hIXYNARorb,0
@Acosta Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment speech… https://t.co/7XLFuI4GSz,0
@morningmika Biden's Afghanistan speech yesterday was as tone deaf and career ending as Cuomo's sexual harassment s… https://t.co/Bd2ovARiDy,0
Today: New York State Governor Andrew Cuomo announced last week that he’s resigning amidst allegations of sexual ha… https://t.co/szF4ZgPibk,0
"This up with ppl and they all said that's literally sexual harassment, and when I told him I was uncomftorable and… https://t.co/jMQgxSu5DQ",0
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/I6QOFGme1X",0
@ChrisRigg5 @JGDavison94 Of course. A lot of people (and bots) are awful and don't see the creepy-ass problem with… https://t.co/sFR0mlOoU6,0
"@ChandaMbao Powerful as praying is, it shouldn't end there.
As one of the influential individuals in society, why d… https://t.co/Eu0fVJcsgF",0
"// sexual harassment , suicide

can I send you a dm its kind of important",0
"I’m awake now so tw//sexual harassment
.
.
.
.
.
.
.
did you get the message about her?",0
"“There’s a lot of harassment and sexual harassment from my boss…When I said I’m going abroad, he said “Jas has a bo… https://t.co/5F6OA2exG9",0
The Resignation of Andrew Cuomo https://t.co/fXo78xugka https://t.co/F9MQR2YzuN,0
The Resignation of Andrew Cuomo https://t.co/RQLvfte1FL https://t.co/LdBrmgHLBf,0
The Resignation of Andrew Cuomo https://t.co/DBoBHGafSI https://t.co/IOFsM4cVpt,0
The Resignation of Andrew Cuomo https://t.co/BCdW4Ca3DT https://t.co/seBfc8534T,0
The Resignation of Andrew Cuomo https://t.co/ndCbl0fPp6 https://t.co/JYuAoUJcTj,0
Has it occurred to anyone that #Cuomo may have fabricated the sexual harassment alligations himself so as to distra… https://t.co/BOL68TM7yu,0
"Sexual Assault 
Sexual assault 
Sexual harassment!

They should just say it! https://t.co/bwnNrzvCey",0
"// sexual harassment , suicide

can i send u guys a dm its kind of important, not related to bts",0
@NyxGreenfyre @Jeopardy It was not Sexual harassment. Read it. His name was later taken off !!,0
@Buzzsaws1990 @EROTHCJ5 A lot of hazing goes on in sports &amp; also women's teams are notorious for lesbian pressure.… https://t.co/h537d2Isx2,0
"Women Veterans didn't receive any kind of mental healthcare through the VA until the 80's, even though women had be… https://t.co/W12xtmcc3v",0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/BvQdBGO2so",0
Maybe not sexual harassment but definitely a red card https://t.co/0Kwka5WRio,0
"@JustNanaAma They are twisting the Bible to suit their nefarious activities, the priest should be jailed.. what he… https://t.co/h25Ep221tN",0
@Shaun24911382 @SusanFairweathe @DawnButlerBrent Guess you’re not reading…. Then there was the hull by election can… https://t.co/AXjA5NuCcq,0
This is sexual harassment he should be banned for 4 games and we should be given the win https://t.co/BJf6tSER8o,0
What the Anglican Church need to do is immediately remove this man from his post snd not let him within 10 inches a… https://t.co/4HZoRpJP2W,0
"""We must make sure the public narrative around sexual assault includes all victims""

An important message on inters… https://t.co/4HW51xBn6B",0
"@Inkredible_B @Citi973 You have no fact , do you know the number of people who have accuse you of sexual harassment ?",0
"On this day in 1998, Bill Clinton became the first sitting US President to give testimony before a grand jury (as t… https://t.co/wvMyxGvPtU",0
"// sexual harassment , suicide

can I send you a dm its kind of important",0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/yY4HTGyHzY",0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/JPAUunHQg0",0
"@Citi973 Sexual harassment. Not appropriate, no matter the reason.",0
"@stilesjrn @redhead_ordead Woman: I've had a horrible sexual harassment incident just now.
Man: How can I make this… https://t.co/rhjIOlkjlu",0
It’s harassment and bullying something which @DepSecDef @SecDef @SecArmy apparently take stand on but do nothing ab… https://t.co/iPHmA7xPrt,0
I'm currently downplaying an experience of sexual harassment and personal space violation because I don't know where to put it,0
🔊 CATCALLED IS NOT A SOMETHING YOU SHOULD BE PROUD OF LADIES! IT IS A PART OF SEXUAL HARASSMENT https://t.co/RYNjJR0crU,0
@ArmoniasHQ @PunishdJim @D_DiscipIe I've had to argue with his fans multiple times about claims he made about the c… https://t.co/4P77uRYdqS,0
"Dear Anglican Hierarchy in Ghana: ""Any psychological issues that may arise"" will be as a result of your priest kiss… https://t.co/gPvmVZ4HId",0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/LUPucqreps",0
"// sexual harassment , suicide

can i send u guys a dm its kind of important",0
@tweetscottyb I think sexual harassment is more common in your country 🥴,0
"@GameSpot Translation: Please ignore all the sexual misconduct and harassment that is happening at Ubisoft, please… https://t.co/zYP7moaK0z",0
"CNN’s Chris Cuomo Attacks Critics, Admits He Urged Brother Andrew Cuomo To Resign As NY Governor Over Sexual Harass… https://t.co/o0Ygl2z6kD",0
"@ahqweci @AkosuaLexeS Learn the concept of sexual harassment then you'll realize you made an ignorant statement, wh… https://t.co/lD3HPLIsEL",0
"@Tukuarika @bellboy905 @SenLummis @GOP HOW, Please site some things Biden has done in 49 years other then enrich hi… https://t.co/SfhYREkmuA",0
Hateful emojis. https://t.co/QRZmOpRJTp via @YouTube This just cracks me up… anyone sends you a aubergine emoji tha… https://t.co/4ZwSEzc99x,0
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/Gotcy5RmdQ",0
A female sergeant of the Navy's 2nd Fleet Command committed suicide. The cause is sexual harassment by the superior… https://t.co/FRdkDOT2lg,0
Here's your daily reminder that @Dexerto loves sexual harassment and sponsors the shit out of it. https://t.co/cErhFJkO8R,0
#KeralaSolarScam: CBI begins inquiry into sexual harassment case against Congress’ Oomen Chandy https://t.co/tVx5md0R1l via @scroll_in,0
Because people like meeya here is why people fucking normalised sexual harassment. It's never okay to catcall. You… https://t.co/1MBwxsz36C,0
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/JRJkS9aK5T",0
@nuongfaalong Absolute right. The man had to face the law. Unwanted sexual harassment.,0
Gov Cuomo's recently announced resignation serves as an important reminder for NY staffing firms to ensure all of t… https://t.co/N5RaYhH9hl,0
@AdrumbleAlt the first would be sexual harassment and yes that is considering grooming still since you’re a minor and he’s an adult,0
@CharlesDakwa @JustNanaAma Transferred? He should be under a jail for the certain sexual harassment he is doing,0
@KanyNusrat @frank_bannerman @daddys_girltn Whether underage or not if you're about to kiss someone and you notice… https://t.co/0TdjLVpGU6,0
@KanyNusrat @frank_bannerman @daddys_girltn Whether underage or not if you're about to kiss someone and you notice… https://t.co/0TdjLVpGU6,0
"The resignation will be effective in 14 days, Cuomo said, at which point he will be replaced by second-in-command K… https://t.co/QR45kES6uM",0
"@KadirAbdulSomed @JustNanaAma No, it means they were nervous, felt awkward,knew it was wrong, but they were unsure… https://t.co/JE43hNLxCe",0
Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations… https://t.co/xBTnxKiG13,0
Anyway! Now is a good time to ask your church leadership about a sexual harassment policy.,0
The Source |Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations https://t.co/QAI77LoIgp,0
Our Fair Housing section is a great resource for Agents! NEW in our Fair Housing section:  “Fair Housing and Sexual… https://t.co/JEZ1C0wOku,0
Our Fair Housing section is a great resource for Agents! NEW in our Fair Housing section:  “Fair Housing and Sexual… https://t.co/lD9mpkkfyW,0
sending porn unsolicited is always sexual harassment,0
"@coffee_anytime You didn't have to sit through a sexual harassment session yet, did you?",0
"On today’s podcast:

- What's next for private tutoring businesses?

- Experts demand stronger laws to counter work… https://t.co/veFPGLp6yO",0
"Riot must let workers talk to ‘unlawful workplace’ investigators, California says - Polygon / More stories at… https://t.co/Dq7oUN52bc",0
@AfricanPolymath @AngryAth @Curious_Jonn If there were no other books in the world and we had to use the Bible as a… https://t.co/SlR4f0XR14,0
"// tw sexual harassment
Hi so the ""did you get the message about her"" tweets are about this , please report the two… https://t.co/t0tnnz4TTZ",0
Chris Cuomo Breaks Silence About Andrew Cuomo’s Resignation Amid Sexual Harassment Allegations https://t.co/YJirxZ8JZI,0
@farenthold Did this longcon hit youi? Or @SenFranken https://t.co/0J1VqCnWxs  Use of alienation of accused rights… https://t.co/2Ms00Aifze,0
"@medyazenci @_alice_evans @aslicansunar Hardly means anything.
3 drawings out of over 150 in a book that is present… https://t.co/mrDVvwzkmo",0
* ARTICLE CREATOR ONLINE * Create UNIQUE content in a click! https://t.co/y1UXJ7nxpy * NYC requires proof of vaccin… https://t.co/DFNwrNG77Z,0
"@Tyler_Polumbus If you look at it in a vacuum and ignore all the external stuff going on with Louis CK, Louie is a… https://t.co/HAiaLkj8Xz",0
"Please note that when you say it's not harassment/assault because the victim laughed, it's just as stupid as saying… https://t.co/deyK5SGvdR",0
California claims Riot is delaying its sexual harassment investigation https://t.co/cR4zKkuwJB,0
California claims Riot is delaying its sexual harassment investigation https://t.co/3Z04iLyOvg,0
Lotta these comments on women/generally fem people on tiktok are unabashed sexual harassment,0
@lilbo_lilbo @Lunaromanis @infamous_dinero @sgrate__ Sexual assault happens to lots of people. Some of them freeze… https://t.co/JavvIoSXIU,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/02yAq7pcj6",0
Latest IFEX Africa Brief: regional court @ecowas_cedeao  orders Nigerian government to compensate tortured journali… https://t.co/SWt0uDJjsm,0
"tw: sexual harassment
tw: scenes of violence
tw: mentions of rape and depression
-❤️🎢

https://t.co/NR9gvX9p8Y",0
CNN's Chris Cuomo Addresses Brother Andrew's Resignation Amid Sexual Harassment Accusations https://t.co/z24pX6apBo,0
Help your workplace be a safe space! How to prevent sexual harassment in your agribusiness: https://t.co/VwzIP10nzt,0
"[Watch] #FochvilleSecondary The meeting between the SGB, the principal &amp; district officials at the school has concl… https://t.co/hG0KJkuv2M",0
